                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.5574,                 2.9371,                  1.159,                0.00792,                0.96698,                0.28816,                0.25759,                0.22531,                 3.1547,                0.99295,                 0.0919,                 0.0009,                 0.0009
                      1,                0.45501,                 2.6554,                  1.116,                0.01295,                      1,                0.41648,                0.40232,                0.21247,                 3.0073,                0.90346,               0.082775,              0.0017746,              0.0017746
                      2,                0.42748,                 2.1959,                  1.067,                0.01789,                      1,                0.40673,                0.39318,                0.25304,                 2.8023,                0.92186,               0.073517,              0.0025172,              0.0025172
                      3,                0.39377,                 1.9263,                 1.0341,                 0.0128,                      1,                 0.3472,                0.33757,                0.25055,                 2.7295,                0.91134,               0.064128,              0.0031278,              0.0031278
                      4,                0.41654,                 1.7684,                 1.0272,                0.01616,                      1,                 0.3916,                0.37849,                0.31302,                  2.607,                0.95272,               0.054606,              0.0036064,              0.0036064
                      5,                0.36942,                 2.2379,                0.98892,                0.00813,                      1,                0.42782,                0.41976,                0.28946,                 2.6752,                 0.9381,               0.044953,               0.003953,               0.003953
                      6,                0.28891,                 1.9445,                0.94671,                0.27065,                0.98718,                0.54009,                 0.5338,                0.29821,                 2.5657,                0.94586,               0.035168,              0.0041676,              0.0041676
                      7,                 0.3161,                 1.7411,                0.93943,                0.55047,                0.34251,                0.57008,                0.54935,                0.34001,                 2.4264,                 1.0003,                0.02525,              0.0042502,              0.0042502
                      8,                0.30887,                 1.5425,                0.94166,                0.44727,                0.48143,                0.58223,                0.55076,                0.41164,                 2.3508,                 1.0819,               0.015201,              0.0042008,              0.0042008
                      9,                0.29237,                 1.5141,                0.93414,                0.51654,                0.71953,                0.69348,                0.66612,                0.34894,                 1.9996,                0.97971,              0.0050194,              0.0040194,              0.0040194
                     10,                 0.2646,                 1.3403,                0.91716,                0.84981,                0.61955,                0.82237,                 0.7975,                0.36057,                 1.9117,                 1.0022,                 0.0034,                 0.0034,                 0.0034
                     11,                0.25265,                 1.2397,                0.89165,                0.68165,                0.75812,                0.78861,                0.75486,                0.40459,                 1.6346,                 1.0756,                 0.0034,                 0.0034,                 0.0034
                     12,                0.24541,                 1.2207,                 0.9007,                0.77849,                  0.715,                0.83273,                0.79914,                0.38951,                 1.5702,                 1.0733,                0.00274,                0.00274,                0.00274
                     13,                0.23703,                 1.1456,                0.91571,                0.73389,                0.78387,                0.80432,                0.77515,                0.37323,                 1.6067,                 1.0206,                0.00208,                0.00208,                0.00208
                     14,                 0.2353,                  1.185,                0.92656,                0.72677,                0.73054,                0.79698,                 0.7772,                 0.3282,                 1.5892,                0.96994,                0.00142,                0.00142,                0.00142
